PetID,rank,Type_str,age_group,Age,n_words_original,n_words_rewritten,description_original,description_rewritten,error
d14a86fd4,11,Dog,young_adult,12,9,39,"She is a playful girl,she need a lovely family","Neoh Neoh is a playful twelve-month-old female mixed-breed dog. This medium-sized, black dog with short fur is fully vaccinated and sterilized and currently in good health. She’s looking for a lovely family to share her energy and enthusiasm with.",
f68a56b90,12,Dog,young_adult,24,91,57,"""This dog is one of the dogs rescued from the Klang Pound in April just before D-day (when they are put to death). It has been rehabilitated and urgently needs a loving home as we have limited resources. It is unfortunate that due to the aggressiveness of the contracted dogcatchers, most of these beautiful dogs are not strays and previously had homes. Hence, most of them are sociable and loving. Serving the voiceless, SAS Volunteer. P/s: Please contact Jackie by calling or texting her at, she's a grandma at emails. ""","K-16 Happy is a 24-month-old female mixed-breed dog with medium-length brown fur and a medium size. She was rescued from a pound and is currently healthy. Due to her previous circumstances, K-16 Happy is looking for a loving home where she can thrive. She is sociable and loving, and would benefit from a patient and understanding adopter.",
7d7da3838,13,Dog,young_adult,24,167,87,Please give local dogs a home Actually they are 4 dogs! There are mother n son one more mother n daughter. They are poor doggies! The bad stall complaint there stay here n disturb their business! Suddenly these poor dogs son n daughter missing! Now leave these 2 mother dogs! This mother dogs actually can live happy with their son n daughter! Too bad human being make them live alone! Human make their family broken! These both mothers also got bad history! They also dump by their owner! They also alaways bully n abuse by human! Both of mother dogs though that can live together be best friend! Too bad their dream can not go thru! Someone warning want they die! I get this news not choice i bring them to the vet! Now they are safe! Keep in the vet make me costly a lot hope! you can open your heart to bring them home! Pls give them a chance! They are spayed! Share pls !,"These two adult mother dogs are looking for a loving home. They are approximately 24 months old and have a short, black coat. Despite a challenging past marked by abandonment and previous abuse, they share a strong bond and believe a family is what they need most. They are spayed and currently receiving care at the veterinary clinic. While not fully vaccinated, they are otherwise healthy. A calm and patient household would provide the perfect environment for these gentle companions to finally experience the companionship they deserve.",
6220663ba,14,Dog,young_adult,8,81,67,"Mr Potato is extremely handsome, super friendly, nice, goofy, funny dog. He's a good guard dog (barks loud), but cannot defend the house (he will be friends with anyone!). He's a good friend too all other dogs out there. Even if you already have 6 dogs, he can make it seven for you without much fuss/ trouble. Other dogs usually accept him happily. He is very healthy, strong, very charming, a sweetheart to all. Please adopt him. For serious adopters only..","Mr Potato is a handsome, eight-month-old male dog of medium size and black fur. He is friendly and playful, with a goofy personality. Mr Potato is a healthy and strong dog who barks loudly. He enjoys the company of other dogs and is generally well-accepted. He is sterilized and fully vaccinated. Mr Potato would thrive in a home where he can receive plenty of attention and exercise.",
1ccd49ce2,15,Dog,young_adult,24,91,62,"""This dog is one of the dogs rescued from the Klang Pound in April just before D-day (when they are put to death). It has been rehabilitated and urgently needs a loving home as we have limited resources. It is unfortunate that due to the aggressiveness of the contracted dogcatchers, most of these beautiful dogs are not strays and previously had homes. Hence, most of them are sociable and loving. Serving the voiceless, SAS Volunteer. P/s: Please contact Jackie by calling or texting her at, she's a grandma at emails. ""","K-29 Kina is a 24-month-old female, medium-sized, black, mixed-breed dog. She was rescued from the Klang Pound in April. Kina is healthy and fully vaccinated and sterilized. She is a sociable and loving dog who needs a patient and understanding home. Kina was part of a group of dogs facing euthanasia and is now seeking a second chance at a happy life.",
a6e902691,16,Dog,adult_senior,48,93,54,"Adopt Auntieeee... ""This dog is one of the dogs rescued from the Klang Pound in April just before D-day (when they are put to death). It has been rehabilitated and urgently needs a loving home as we have limited resources. It is unfortunate that due to the aggressiveness of the contracted dogcatchers, most of these beautiful dogs are not strays and previously had homes. Hence, most of them are sociable and loving. Serving the voiceless, SAS Volunteer. P/s: Please contact Jackie by calling or texting her at, she's a grandma at emails. ""","K-12 Auntie Moca is a 48-month-old female mixed-breed dog with medium-length brown fur and a medium size. She was rescued from a pound in April. Auntie Moca is currently healthy. Due to her previous history, she benefits from a patient and understanding household. She is looking for a loving home where she can thrive.",
a6a0b1762,17,Dog,young_adult,24,73,62,This beautiful girl was rescued from sri kembangan apartment as management called MPSJ and we managed to save her from the pack. She is extremely friendly and is playful! My sister has been feeding her daily and even got her spayed & vaccinated. Please give her a home ASAP and love her! We are also looking for people to foster her at the moment as she is not safe in the condo area.,"Dini is a 24-month-old female, medium-sized, short-haired black mixed-breed dog. She is spayed and vaccinated. Dini was rescued from a multi-dog situation and is known for being friendly and playful. She is currently healthy. We are seeking a loving home for Dini and are also exploring foster care options for her, as she requires a safe environment outside of the apartment complex.",
4872c28b4,19,Dog,adult_senior,36,85,68,"These dogs were found abandoned and malnourished They were rescued by a kind soul who has now no place to keep them , being turned out of the kennels he was renting at Jabatan Veterinar, Penang. Please help find them a home or a place where we can keep them and take care of them ona daily basis. The dogs are very friendly and loving. Though the are adult dogs, they are as adaptable as puppies, but are less destructive to your belongings, than puppies.","This large, black, mixed-breed dog is 36 months old. He was found abandoned and malnourished and is currently seeking a loving home. Despite his past, he is a friendly and loving companion, displaying the adaptability of a younger dog. While an adult, he is less destructive than puppies. His vaccination and sterilization status is currently unknown. A calm and patient home would be ideal for this gentle male.",
739cd2d34,20,Dog,adult_senior,156,62,63,"Abby is 13 years old. The owner wants her euthanised because he is moving house. Please help to give her a home so that she can live out her natural life. She is healthy, gentle and still active, and has been a pet all her life. She is being boarded now, awaiting euthanasia. The owner has abandoned her. Poor Abby. Please help.","Abby is a 156-month-old female mixed-breed dog. She is medium in size with medium-length black fur and remains healthy and active. Abby has spent her life as a beloved companion and is currently being boarded while she awaits a permanent home. Due to circumstances beyond her control, she requires a loving family to provide a comfortable and stable environment for her remaining years.",
bbe6ff890,23,Dog,adult_senior,72,92,65,"Courty is named after the food court where she used to live as a stray. She's already 6 years old, healthy and spayed. I have found her when she was 1 year old and never managed to find her a forever home. She is very sensitive and emotional doggie that needs lots of attention and love. She's obedient and quiet. Loves children and people in general. Would be great as a pet for a family with kids. Please, give me a call if you think she would be right dog for you.","Courty is a 72-month-old female, medium-sized, yellow mixed-breed dog with medium fur length. She is fully vaccinated and sterilized and currently in good health. Courty was found as a stray and is a sensitive and emotional dog who thrives on attention and love. She is obedient and quiet, and enjoys the company of children and people. Courty would likely flourish in a home with children.",
5f5d44f43,26,Dog,adult_senior,36,84,54,"I am finding a kind soul who can help care for this dog. He's found with TVT virus, a tumour that can be cured. He'll need to take medicine and chemotherapy injection every Saturday (so far 2 injection done, may needed 4 more depends on condition). All expenses will be covered by me, I can also help on transportation, but need someone help to take care as I am having private issue. Please do let me know if anyone can help. Kindly contact Thanks.","Bongo is a medium-sized, black, short-haired mixed-breed dog. He is 36 months old and male. Bongo has a minor injury. He requires ongoing care, including medication and chemotherapy injections every Saturday, following previous treatments. He is not vaccinated or sterilized. A caring individual is needed to provide the necessary support and administer these treatments.",
eb77432cd,28,Dog,adult_senior,29,95,64,"Hello everyone, Her name is baby. She is 2-3 years old. I found her in Sentul Market with injured leg 2months ago. All this while we took care of her till she recover. But now we've been facing problems from neighbour. We can’t take care of her permanently because we already have 3 more adopted dogs at home. I really need someone who can take care and give a safe shelter for baby. She is a very loving, playful and active doggy. Those who interest to adopt her, please PM me. Thank you very much.","Baby is a 29-month-old, medium-sized, golden-colored, short-haired mixed-breed female dog. Two months ago, she was found in Sentul Market with an injured leg. She has since recovered and is currently healthy. Baby is a loving, playful, and active dog. Due to space constraints and caring for three other adopted dogs, we need to find her a safe and permanent home where she can thrive.",
eea42fc56,30,Dog,puppy_kitten,4,26,48,Rescued 3 puppies in cheras. Puppies are looking for home... They are beautiful & good. Appreciate if anyone willing to adopt them. Please call Chloe Lim,"Three four-month-old female puppies are waiting for their forever homes in Chères. These medium-sized, black, short-haired mixed-breed dogs are healthy and looking for a loving family. They have not yet been vaccinated or sterilized. A bright and active household would be a wonderful match for these playful pups.",
cc607ef5c,32,Dog,adult_senior,36,30,52,"Huey is a very tame and friendly dog. He loves to walk, run and play with others easily like normal dog. He's looking for people who love him very much.","Huey is a friendly male dog, 36 months old and medium in size. His short black fur is easy to care for, and he enjoys walks, runs, and playing with other dogs. Huey is healthy and looking for a loving home where he can thrive. His status regarding sterilization is currently unknown.",
77f9b1470,33,Dog,adult_senior,36,87,59,"Jorge is a stout, strong dog yet soft enough on the inside. ""This dog is one of the dogs rescued from the Klang Pound in April just before D-day (when they are put to death). It has been rehabilitated and urgently needs a loving home as we have limited resources. It is unfortunate that due to the aggressiveness of the contracted dogcatchers, most of these beautiful dogs are not strays and previously had homes. Hence, most of them are sociable and loving. Serving the voiceless, SAS Volunteer.""","K-1 Jorge is a medium-sized, brown, mixed-breed dog. At 36 months, he is a strong dog with medium-length fur. Jorge was rescued from the Klang Pound in April and is currently healthy. He is sterilized and fully vaccinated. Due to his previous circumstances, Jorge would thrive in a patient and understanding home where he can feel safe and loved.",
2ea25b63b,37,Dog,adult_senior,36,220,96,"As we are leaving Malaysia we cannot take two of our three dogs with us, and Rosie is one of them. She came to us two years ago when she was roaming the street, having been abandoned or thrown out by her previous owner. She then decided to adopt us (yep - she waited in front of our gate every day until we took her in) and has since been the reason for many laughs. Even though she must have had bad experiences before she is very trusting and curious and I have never seen her aggressive towards people. She will always try to stay close to one of us. Although she is very alert she rarely barks and is generally very calm. She has learned some commands but needs some additional training to listen really well. Rosie would be ideal for a family with kids as she is very gentle and patient. She is currently living inside the house as well as outside in the garden, so please no small cages or chain for her. Even though we leave the dogs alone during the days she has never chewed or destroyed anything. I hope a new family can give her the life and love she deserves. What this dog lacks in beauty, she makes up in cheerfulness and personality!","Rosie is a 36-month-old female, medium-sized, gray, short-haired mixed-breed dog. She came into our care two years ago after being found roaming the streets and waiting patiently at our gate. Rosie is a trusting and curious dog, having experienced challenging times before. She is generally calm and rarely barks, though she would benefit from additional training to improve her listening skills. Rosie enjoys spending time both inside and outside, and she is gentle and patient, making her a good fit for a family with children. She has never chewed or destroyed anything while living with us.",
be579e6ed,38,Dog,puppy_kitten,5,75,52,"I found cute obedient Minion abandoned at nearby market.Immediately I brought her back to my place and provide her with food, water, and clean shelter. She is very healthy and playful, especially with people and her dog friends. Hopefully she can find a home and receive the love she deserves. Her location is at Tronoh, Perak but outstation adoption can be arranged. If you think you could be the one, please contact me via PM.","Minion is a healthy and playful five-month-old female mixed-breed dog. She is medium-sized with short brown fur. Minion was found abandoned near a market and is fully vaccinated and sterilized. She enjoys spending time with people and other dogs. A loving home in Tronoh, Perak would be perfect for this sweet girl.",
f3c42e04b,40,Dog,adult_senior,36,114,65,"I guess dogs like Herbie at not the ones you pick out immediately, but bear in mind the heart of gold he has. ""This dog is one of the dogs rescued from the Klang Pound in April just before D-day (when they are put to death). It has been rehabilitated and urgently needs a loving home as we have limited resources. It is unfortunate that due to the aggressiveness of the contracted dogcatchers, most of these beautiful dogs are not strays and previously had homes. Hence, most of them are sociable and loving. Serving the voiceless, SAS Volunteer. P/s: Please contact Jackie by calling or texting her at, she's a grandma at emails. ""","Herbie is a 36-month-old, medium-sized, black, mixed-breed dog. He was rescued from the Klang Pound in April. While his vaccination and sterilization status is currently unknown, Herbie is otherwise healthy. He is a sociable and loving dog, having previously lived in a home. Due to his rescue circumstances, Herbie is looking for a patient and understanding family who can provide him with a loving home.",
563eaa005,41,Dog,adult_senior,36,13,55,Very friendly and loves people. Please adopt from SPCA. Rescued from Pulau Ketam.,"Bobby is a friendly 36-month-old male, mixed-breed dog with short black fur and a medium size. He is fully vaccinated and sterilized and currently in good health. Bobby was rescued from Pulau Ketam and enjoys the company of people. He would thrive in a loving home where he can receive plenty of attention and affection.",
d0b5fece1,42,Dog,adult_senior,60,36,60,She is a very sweet dog who loves a lot of attention and is great with children. We previously adopted her from the SPCA. Her previous owner removed her voice therefore she is unable to bark.,"Millie is a sweet, medium-sized female dog with short brown fur. She is 60 months old and a mixed breed. Millie enjoys attention and is good with children. She is healthy and fully vaccinated and sterilized. Millie’s previous owner caused her to be unable to bark. Millie would thrive in a loving home where she can receive plenty of affection.",
eb6c692dc,43,Dog,puppy_kitten,3,8,42,Smart & playful & loyal companion friend :),"Marie Girl is a playful three-month-old female mixed-breed dog. She is medium in size with short, brown fur. Marie is a healthy and vaccinated companion, and has been sterilized. Her smart and loyal nature makes her a wonderful friend to have around.",
711bebb99,47,Dog,puppy_kitten,4,20,49,She is very friendly towards other people and loves to eat treats. She is currently staying at the SPCA Penang.,"Daisy is a friendly four-month-old female dog with short, golden fur and a medium size. She enjoys treats and is currently residing at the SPCA Penang. Her vaccination and sterilization status are currently unknown. Daisy’s playful nature and affectionate demeanor make her a wonderful addition to a loving home.",
6029bf590,59,Dog,puppy_kitten,6,14,55,"Sweet, loyal, friendly girl. A great addition to the family WhatsApps for more info","Lisa Girl is a six-month-old female mixed-breed dog with short, brown fur and a medium size. She is healthy and fully vaccinated and sterilized. Lisa is a sweet and friendly companion, eager to bring joy to a loving family. She would thrive in a home where she can be a valued member of the household.",
a2dccbe51,61,Dog,puppy_kitten,6,64,66,"Active. Like to play with other dogs. Like to eat. Friendly. Except only when having her meal. Do not like people disturb when eating or drinking. (She will bite if she being disturb) A good guard dog. -Due to some problem in my home, i have forced to give away the dog. I wish she can meet someone who is nice and love dog.","Abbie is a six-month-old female mixed-breed dog with short cream-colored fur and a medium size. She’s a healthy and active companion who enjoys playing with other dogs. Abbie is friendly but can be protective of her food, and may bite if disturbed while eating or drinking. She is a good guard dog. Due to unforeseen circumstances, Abbie is seeking a loving home where she can thrive.",
76024f2ed,62,Dog,puppy_kitten,5,26,56,"Fay has a cute face, well-behaved and with good character. It loves to play with people and very friendly. Besides, it also a good guard dog.","Fay is a delightful five-month-old female mixed-breed dog with short, brown fur and a medium size. She is healthy, fully vaccinated, and sterilized. Fay enjoys playing with people and is friendly, and she also exhibits protective qualities. She would thrive in a loving home where she can be an active and cherished member of the family.",
0e8a11aaa,75,Dog,puppy_kitten,6,97,61,"someone threw them out from the car & ciao. left them there waiting for the owner who will never return. they waited there for 3 days & ppl in the neighbourhood wanna call the majlis bandaraya to catch them. so now we found a place to keep them temporarily (but not too long). now, we are looking for someone who can giv them a forever home~ they are brothers (both also boy boy). 6mth+. very friendly wit ppl (fortunately being abandoned didnt hurt them til they dun trust ppl). if interested to adopt, kindly contact Qi at","Chip and Dale are two handsome, six-month-old male dogs of medium size and short brown fur. They were unfortunately abandoned and waited for three days before being rescued. Despite this experience, they are very friendly with people and eager for a loving forever home. They are currently unvaccinated and unsterilized. A patient and understanding adopter would be ideal for these brothers.",
eb90062ec,76,Dog,puppy_kitten,6,55,51,"rescued with 29 other puppies from Klang Pound a night before their euthaniasia on the 29th of April,.Much work was done to restore her to excellent health as she is now. Always on the alert to any alien.Yes. Good Morning Sir,......... Incidentally,her name is ELLE . Pls refer to her other profile. Interested pls call","Good Morning Sir is a six-month-old female mixed-breed dog with short black fur and a medium size. She was rescued from Klang Pound just before euthanasia on April 29th and has received extensive care to restore her excellent health. Currently, she is healthy and alert. ELLE’s profile can be found elsewhere.",
eb6bb82fd,81,Dog,puppy_kitten,5,82,63,She is a obediant yet naughty lil puppy... she is now approx. 4.5 month... she done twice vaccination and deworm done..and prove healthy... she been feed Nutri edge since she start to eat solid food...she need to be give up for adoption because of the old uncle that raise her up cant take care of her anymore due to the old uncle age ... please do email me for more information... adopter have to spay her she is now in kedah thanks,"Yahoo is a medium-sized, five-month-old female mixed-breed dog with short, yellow fur. She is currently healthy and fully vaccinated, having received twice the required vaccinations and deworming. Yahoo has been eating Nutri Edge since transitioning to solid food. Due to circumstances beyond her previous caretaker’s ability to continue providing care, Yahoo is available for adoption. She is spay-needy and requires sterilization upon adoption.",
522d0728c,89,Cat,young_adult,24,7,62,"so lovely,passionate,can be good friend for you","Ameera is a beautiful, medium-sized female Domestic Short Hair cat with short, yellow fur. At 24 months old, she’s a passionate and affectionate companion. Ameera is currently un-vaccinated and un-sterilized, and her health status is currently unknown. She would thrive in a home where she can receive the care and attention she deserves, and where she can blossom into a wonderful friend.",
bfdff0622,104,Dog,puppy_kitten,5,257,89,"Little Hailey had a rough beginning to her life. Hailey was rescued about 2 months ago in Desa Sri Hartamas. She was a lone pup most likely abandoned. Hailey was close to death when she was rescued. Severely malnourished and anemic she could barely stand. She had major hookworm infestation and the worse case of fleas I had ever seen. It was heartbreaking to see such a tiny little dog endure so much. Her blood count was so low that a blood transfusion was needed. But like her vet says..Hailey is a fighter and a survivor! She was such a good patient throughout her treatment and rehabilitation. It was so easy to administer her meds and when she got her appetite back she would eat anything I fed her..no complaints, no rejection . Thankfully, she is now a happy and healthy girl. She is also very intelligent. She learned the commands sit and down in a day and would go back to her cage when she's instructed to. Although it breaks my heart to give her up for adoption, I feel she deserves much more than what a condo habitat can offer. Hailey received her first vaccination a few days ago and is due for her 2nd in a month. Her adoption is only open to genuine dog lovers who will take her in as part of the family . Adopter must agree to spay her in February before her first heat. If you are keen on giving Hailey her forever loving home, please contact Kin at.","Pretty Hailey is a medium-sized, black, mixed-breed dog about 5 months old. Rescued from a difficult situation, she was severely malnourished and anemic when found. Hailey received a blood transfusion and underwent treatment for a major hookworm infestation and severe flea infestation. Now healthy and thriving, she is a happy and intelligent girl who quickly learned commands like “sit” and “down.” She is vaccinated and sterilized, and enjoys her meals with enthusiasm. Hailey is seeking a loving forever home where she can be cherished as part of the family.",
bee984e11,107,Dog,puppy_kitten,5,13,48,she is a loving and friendly pet....she is more of a protective dog,"Kutty is a medium-sized, five-month-old female dog with short black fur. She is a healthy mixed-breed and has been sterilized. Kutty is a loving and friendly dog who also exhibits protective behaviors. She would thrive in a patient and understanding home where she can feel safe and secure.",
d1a2da8ef,115,Cat,young_adult,12,280,93,"POSTED ON BEHALF OF OUR FRIEND MANDY. please kindly contact her directly if you wish to adopt: . TQ :) Pinky is one of the community cat that our friend-Mandy taking care of. Pinky lives at the back alley of her house and she feeds the group of cats daily. Pinky is a very very adorable, sweet, friendly, manja and tame cat. She loves dog and is very attached with one of the community dog - Bobby. Bobby is a sweet and friendly dog too and she gets along well with Pinky and the cats. Unfortunately past two weeks Pinky dissapeared for two days and she was found with severe injuries on her back side and it bleeds badly. It was diagnosed as dog bite wound and we believe that Pinky might got bite by other stray dogs around that area..she might think that dogs are all as friendly as Bobby and would play with her. Poor Pinky is still hospitalized in vet clinic. The vet are forced to cut off her long beautiful tail as the tissues and skin of the tail were damaged. We're worried that after she got back to the back alley she might got bite again as she's too friendly with dog. Pinky definitely deserves a very good and loving home. Please, adopt her if you're able to. Interested to adopt? Please kindly read our requirements: - Always keep cat indoor all the time - Agree to bring her for yearly vaccination - Provide balanced meals and fresh water all the time - Allow for home visit - Love and treat him like your own precious family members Please give a home to Pinky ♥","Pinky is a 12-month-old female Domestic Short Hair cat. She is medium in size with short black fur and is fully vaccinated and sterilized. Pinky has a serious injury – a severe wound to her back requiring surgical removal of her tail – resulting from a dog bite. She is a friendly and tame cat who previously lived with a group of community cats and a dog named Bobby. Due to a recent incident, Pinky requires a patient and understanding home where she can be kept indoors to ensure her safety and recovery.",
157f9809a,143,Cat,young_adult,24,9,42,I rescued this cat on Pasar in Johor Bahru.,"Kucing is a medium-sized, black Singapura cat who is 24 months old. Rescued from Johor Bahru, she is currently healthy. Her vaccination and sterilization status are unknown. She would thrive in a loving home where she can receive the care she needs.",
44229bb72,170,Cat,young_adult,12,8,48,"Active and clingy, Well-behaved. Rescued 1 month ago","Jazzy is a medium-sized, brown Domestic Short Hair cat, approximately 12 months old. He is a healthy and active companion, known for being quite clingy. Rescued just one month ago, Jazzy is settling in and ready to find a loving home. He is not yet vaccinated or sterilized.",
a03da4900,238,Cat,young_adult,18,31,45,Tara is a rescue cat and is now ready for adoption. Very affectionate Note that the adoption fee is simply to cover the cost of spaying. Urgent as Fosterer is relocating.,"Tara is a medium-sized, black Domestic Short Hair cat, 18 months old. This affectionate female is fully vaccinated and sterilized and currently in good health. Tara was a rescue and is now seeking a loving forever home. Her fosterer is relocating, making her adoption urgent.",
3163e9acf,255,Cat,young_adult,12,14,36,They are abandoned cats and now waiting for you to give them a home.,"Blacky is a medium-sized, 12-month-old female Domestic Short Hair cat with short black fur. She is fully vaccinated and sterilized and currently in good health. Blacky is waiting for a loving home where she can thrive.",
abafdc972,290,Cat,young_adult,24,39,54,"saya jumpa kucing ni di area tempat kerja saya , kesian tengok ade 1 ibu dgn 3 anak dia .. mesti dorg kelaparan sbb dok kt luar je.dlm kotak pulak tu.if ade yang boleh adopt pls call num i..tenkiu",This 24-month-old Domestic Short Hair cat is medium in size with medium-length black fur. The cat’s gender is mixed. A minor injury has been observed. This cat was found with one mother and three kittens in an outdoor area and was subsequently placed in a box. A loving home is sought for this cat.,
1e011d469,300,Cat,adult_senior,36,256,82,"Michi was found badly injured two weeks ago, with two big dog bites going through his fur, into his chestbox, very close to his lung and spine, with an serious infectious process going on, in a farm some hours away from KK. Neglecting him would have meant leave him to a slow and painful death. I looked after the cat, and his recovery's been great, but still under antibiotic as the biggest holes hasn't sealed completely, hopefully he'll be healed by the end of this week. I am a traveler, and I must leave Malaysia as my visa expires. We've come all the way to KK to find a real home for him, as I am not allowed to cross into other country with the cat. Michi is male, small size, half-short tailed, about 3 years old, and healthy (no skin deseases). He is quiet, sweet, adorable, not picky with his food, and most importantly LOW MAINTAINANCE. It's hard for me to leave him, as he's the most caring thing I have seen in cats. We had great adventures: we hitch-hiked for two days from somewhere near Tawau, to get here. So you can add ""well traveled"" to his qualities. I must leave KK by Sat 11th Aug. Still after this date, please contact me, as I may not have found a place for him. Do you think you can give him a second chance? You can also help by sending this page to your friends Have a look at more pictures of Michi Terima Kasih!","Michi is a small, three-year-old male Domestic Short Hair cat with short black fur. He sustained minor injuries two weeks ago from dog bites, which required ongoing antibiotic treatment. Michi is currently not vaccinated or sterilized. Despite this, he has made a remarkable recovery. He is a quiet and sweet cat with no particular food preferences. Michi is a well-traveled cat, having recently traveled from near Tawau. He is seeking a loving, low-maintenance home before I must leave KK by August 11th.",
a77045d3b,302,Cat,young_adult,8,31,57,THIS POOR KITTY IS HAS BEEN ADOPTED ONCE BUT THEY SEND HER BACK....I FEEL SAD THAT NO ONE WANT HER. HOPE THAT SOMEONE CAN ADOPT HER AND GIVE LOVE TO HER.,"Kitty is a medium-sized, eight-month-old female American Shorthair cat with black fur. She has been previously adopted but returned to the shelter. Despite this experience, Kitty is a healthy cat and ready for a loving home. She would thrive in a patient and understanding environment where she can slowly build trust and receive the affection she deserves.",
